UserID,Full_Name,Gender,Race,Age,Age_Group,Age_Category,Clean_Email,Clean_Handle,Clean_Name,Province,Account_Status,Channel2,Channel_Category,RecordDate2,Record_Date,Month_Name,DayOfWeek,Day_Type,Record_Time,Time_Category,Duration2,Duration_Clean,Hours,Minutes,Seconds
33773,None None,None,None,0,Child,Under 18,Torrie 294@abcmail.com,None,None,None,Active,ICC Cricket World Cup 2011,Sports,2016-03-12T08:50:00.000Z,2016-03-12,March,Saturday,Weekend,10:50,Morning,1899-12-31T00:00:08.000Z,00:00:08,0,0,8
39353,None None,None,None,0,Child,Under 18,Rebekah 374@abcmail.com,None,None,None,Active,Trace TV,Music,2016-01-05T01:54:00.000Z,2016-01-05,January,Tuesday,Weekday,03:54,Night,1899-12-31T00:03:30.000Z,00:03:30,0,3,30
45769,None None,None,None,0,Child,Under 18,Emilie 443@mail.com,None,None,None,Active,ICC Cricket World Cup 2011,Sports,2016-03-12T11:28:00.000Z,2016-03-12,March,Saturday,Weekend,13:28,Afternoon,1899-12-31T00:01:44.000Z,00:01:44,0,1,44
51888,Katharina  Condie,female,black,24,Young Adult,18–24,Katharina 135@mailxyz.com,@Katharina 13,Katharina ,Mpumalanga,Active,Cartoon Network,Kids,2016-01-08T06:05:00.000Z,2016-01-08,January,Friday,Weekday,08:05,Morning,1899-12-31T00:00:34.000Z,00:00:34,0,0,34
69707,Samuel  Pascarella,male,indian_asian,34,Young Adult,25–34,Samuel 264@abcmail.com,@Samuel 26,Samuel ,Kwazulu Natal,Active,SuperSport Blitz,Sports,2016-03-19T22:13:00.000Z,2016-03-20,March,Sunday,Weekend,00:13,Night,1899-12-31T00:01:50.000Z,00:01:50,0,1,50
82389,None None,None,None,0,Child,Under 18,Sharri 332@gmail.com,None,None,None,Active,DStv Events 1,Other,2016-01-08T11:33:00.000Z,2016-01-08,January,Friday,Weekday,13:33,Afternoon,1899-12-31T00:09:30.000Z,00:09:30,0,9,30
102190,Haywood  Sieren,male,white,42,Adult,35–44,Haywood 94@abcmail.com,@Haywood 9,Haywood ,Gauteng,Active,ICC Cricket World Cup 2011,Sports,2016-03-25T15:40:00.000Z,2016-03-25,March,Friday,Weekday,17:40,Evening,1899-12-31T00:02:40.000Z,00:02:40,0,2,40
103657,Romeo  Tatham,male,white,24,Young Adult,18–24,Romeo 372@gmail.com,@Romeo 37,Romeo ,Mpumalanga,Active,M-Net,Entertainment,2016-03-19T17:11:00.000Z,2016-03-19,March,Saturday,Weekend,19:11,Evening,1899-12-31T00:02:58.000Z,00:02:58,0,2,58
173765,None None,None,None,0,Child,Under 18,Tiffani 292@gmail.com,None,None,None,Active,Trace TV,Music,2016-01-08T07:29:00.000Z,2016-01-08,January,Friday,Weekday,09:29,Morning,1899-12-31T00:01:03.000Z,00:01:03,0,1,3
268737,Wilburn  Mccown,male,black,23,Young Adult,18–24,Wilburn 305@mailxyz.com,@Wilburn 30,Wilburn ,Gauteng,Active,Supersport Live Events,Sports,2016-01-10T20:15:00.000Z,2016-01-10,January,Sunday,Weekend,22:15,Night,1899-12-31T00:01:36.000Z,00:01:36,0,1,36
370331,Epifania  Crotty,female,white,39,Adult,35–44,Epifania 65@mailxyz.com,@Epifania 6,Epifania ,Gauteng,Active,ICC Cricket World Cup 2011,Sports,2016-02-24T10:10:00.000Z,2016-02-24,February,Wednesday,Weekday,12:10,Afternoon,1899-12-31T00:03:40.000Z,00:03:40,0,3,40
582217,Robby  Holt,male,black,34,Young Adult,25–34,Robby 164@abcmail.com,@Robby 16,Robby ,Mpumalanga,Active,Channel O,Music,2016-01-01T21:04:00.000Z,2016-01-01,January,Friday,Weekday,23:04,Night,1899-12-31T00:00:27.000Z,00:00:27,0,0,27
582393,Lloyd  Mcclaine,male,indian_asian,30,Young Adult,25–34,Lloyd 73@mail.com,@Lloyd 7,Lloyd ,Kwazulu Natal,Active,Trace TV,Music,2016-01-01T14:57:00.000Z,2016-01-01,January,Friday,Weekday,16:57,Afternoon,1899-12-31T00:00:15.000Z,00:00:15,0,0,15
590330,Michel  Arrieta,male,white,18,Young Adult,18–24,Michel 205@mailxyz.com,@Michel 20,Michel ,Mpumalanga,Active,Boomerang,Kids,2016-01-06T23:13:00.000Z,2016-01-07,January,Thursday,Weekday,01:13,Night,1899-12-31T00:06:04.000Z,00:06:04,0,6,4
593270,Rebecka  Shkreli,female,white,33,Young Adult,25–34,Rebecka 242@gmail.com,@Rebecka 24,Rebecka ,North West,Active,DStv Events 1,Other,2016-01-02T17:39:00.000Z,2016-01-02,January,Saturday,Weekend,19:39,Evening,1899-12-31T00:15:55.000Z,00:15:55,0,15,55
596969,Teresia  Beville,female,black,33,Young Adult,25–34,Teresia 505@mailxyz.com,@Teresia 50,Teresia ,Gauteng,Active,Trace TV,Music,2016-01-08T20:54:00.000Z,2016-01-08,January,Friday,Weekday,22:54,Night,1899-12-31T00:00:15.000Z,00:00:15,0,0,15
600435,Loyd  Crotty,male,black,36,Adult,35–44,Loyd 491@yahoo.com,@Loyd 49,Loyd ,Western Cape,Active,Boomerang,Kids,2016-01-08T05:38:00.000Z,2016-01-08,January,Friday,Weekday,07:38,Morning,1899-12-31T00:02:30.000Z,00:02:30,0,2,30
630977,Stacy  Wigfall,male,coloured,28,Young Adult,25–34,Stacy 274@abcmail.com,@Stacy 27,Stacy ,Gauteng,Active,Trace TV,Music,2016-01-16T09:52:00.000Z,2016-01-16,January,Saturday,Weekend,11:52,Morning,1899-12-31T00:00:15.000Z,00:00:15,0,0,15
667632,Dion  Zweifel,male,None,34,Young Adult,25–34,Dion 331@yahoo.com,@Dion 33,Dion ,Western Cape,Active,Cartoon Network,Kids,2016-01-16T18:25:00.000Z,2016-01-16,January,Saturday,Weekend,20:25,Evening,1899-12-31T00:04:41.000Z,00:04:41,0,4,41
720398,Emilie  Deblois,female,coloured,28,Young Adult,25–34,Emilie 504@abcmail.com,@Emilie 50,Emilie ,Gauteng,Active,DStv Events 1,Other,2016-01-20T17:22:00.000Z,2016-01-20,January,Wednesday,Weekday,19:22,Evening,1899-12-31T00:01:05.000Z,00:01:05,0,1,5
720646,Carter  Lavoie,male,white,25,Young Adult,25–34,Carter 32@gmail.com,@Carter 3,Carter ,North West,Active,Supersport Live Events,Sports,2016-01-19T10:23:00.000Z,2016-01-19,January,Tuesday,Weekday,12:23,Afternoon,1899-12-31T00:00:16.000Z,00:00:16,0,0,16
724179,Desirae  Luthy,female,black,21,Young Adult,18–24,Desirae 292@gmail.com,@Desirae 29,Desirae ,Gauteng,Active,Channel O,Music,2016-01-20T18:49:00.000Z,2016-01-20,January,Wednesday,Weekday,20:49,Evening,1899-12-31T00:10:51.000Z,00:10:51,0,10,51
