UserID,Name,Surname,Gender,Race,Age,Age_Group,Age_Category,Email,Social Media Handle,Province
34,Chas ,Biggers,male,white,55,Adult,55–64,Chas 351@yahoo.com,Social Media Handle,Free State
39,Wilburn ,Crotty,male,black,54,Adult,45–54,Wilburn 303@mail.com,Social Media Handle,Eastern Cape
63,Emerson ,Slane,male,black,51,Adult,45–54,Emerson 243@mail.com,Social Media Handle,Kwazulu Natal
90,Stacy ,Sytsma,male,coloured,49,Adult,45–54,Stacy 273@mail.com,Social Media Handle,Kwazulu Natal
97,Lucas ,Woolard,male,coloured,48,Adult,45–54,Lucas 233@mail.com,Social Media Handle,Free State
104,Randy ,Tancredi,male,black,47,Adult,45–54,Randy 393@mail.com,Social Media Handle,Gauteng
107,Trudie ,Restivo,female,black,47,Adult,45–54,Trudie 502@gmail.com,Social Media Handle,Gauteng
108,Chas ,Luthy,male,coloured,47,Adult,45–54,Chas 352@gmail.com,Social Media Handle,Western Cape
120,Jared ,Bilyeu,male,coloured,46,Adult,45–54,Jared 503@mail.com,Social Media Handle,Western Cape
132,Carter ,Wigfall,male,black,45,Adult,45–54,Carter 33@mail.com,Social Media Handle,Gauteng
135,Emerson ,Beville,male,other,45,Adult,45–54,Emerson 241@yahoo.com,Social Media Handle,Gauteng
138,Abel ,Hier,male,None,45,Adult,45–54,Abel 185@mailxyz.com,Social Media Handle,Eastern Cape
146,Filiberto ,Jacox,male,None,45,Adult,45–54,Filiberto 43@mail.com,Social Media Handle,Western Cape
164,Claud ,Borelli,male,black,43,Adult,35–44,Claud 345@mailxyz.com,Social Media Handle,Gauteng
206,Valentine ,Tatham,male,coloured,42,Adult,35–44,Valentine 471@yahoo.com,Social Media Handle,Free State
212,Kyle ,Martello,male,black,41,Adult,35–44,Kyle 63@mail.com,Social Media Handle,Gauteng
249,Markus ,Wigfall,male,black,40,Adult,35–44,Markus 192@gmail.com,Social Media Handle,Gauteng
305,Jacinto ,Hier,male,black,39,Adult,35–44,Jacinto 254@abcmail.com,Social Media Handle,Eastern Cape
317,Lane ,Hier,male,black,38,Adult,35–44,Lane 111@yahoo.com,Social Media Handle,North West
325,Torrie ,Mcclaine,female,black,38,Adult,35–44,Torrie 71@yahoo.com,Social Media Handle,Gauteng
338,Irving ,Vital,male,black,38,Adult,35–44,Irving 51@yahoo.com,Social Media Handle,Limpopo
345,Earl ,Mcclaine,male,black,38,Adult,35–44,Earl 423@mail.com,Social Media Handle,Gauteng
385,Robby ,Slane,male,black,37,Adult,35–44,Robby 165@mailxyz.com,Social Media Handle,Gauteng
444,Kyle ,Mcculloch,male,black,35,Adult,35–44,Kyle 65@mailxyz.com,Social Media Handle,Gauteng
450,Malika ,Sieren,female,None,35,Adult,35–44,Malika 84@abcmail.com,Social Media Handle,Eastern Cape
464,Luanna ,Hoadley,female,black,35,Adult,35–44,Luanna 352@gmail.com,Social Media Handle,Gauteng
468,Shandra ,Mccollum,female,black,34,Young Adult,25–34,Shandra 483@mail.com,Social Media Handle,Kwazulu Natal
476,Hollis ,Mcculloch,male,black,34,Young Adult,25–34,Hollis 381@yahoo.com,Social Media Handle,Mpumalanga
477,Hyman ,Condie,male,black,34,Young Adult,25–34,Hyman 85@mailxyz.com,Social Media Handle,North West
